City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country
0,Hithadhoo,-0.6,73.0833,82.0,71,51,10.63,broken clouds,
1,Ushuaia,-54.8,-68.3,34.86,96,97,3.58,light rain,
2,Kapaa,22.0752,-159.319,82.38,70,32,4.0,light rain,
3,Rikitea,-23.1203,-134.9692,68.49,58,89,17.38,overcast clouds,
4,Thompson,55.7435,-97.8558,64.78,36,77,5.57,broken clouds,
5,Bredasdorp,-34.5322,20.0403,43.29,91,0,4.43,clear sky,
6,Kavieng,-2.5744,150.7967,80.82,75,93,2.8,light rain,
7,Chokurdakh,70.6333,147.9167,37.71,92,100,15.35,light rain,
8,Arraial Do Cabo,-22.9661,-42.0278,71.6,80,0,26.13,clear sky,
9,Cockburn Town,21.4612,-71.1419,82.45,80,9,22.5,clear sky,
10,Dikson,73.5069,80.5464,40.1,92,100,5.77,overcast clouds,
11,Vaini,-21.2,-175.2,70.14,75,10,18.99,clear sky,
12,Viedma,-40.8135,-62.9967,46.94,73,87,25.05,overcast clouds,
13,Norman Wells,65.282,-126.8329,54.97,69,100,7.09,overcast clouds,
14,Cape Town,-33.9258,18.4232,54.12,93,0,2.3,clear sky,
15,Albany,42.6001,-73.9662,77.67,93,95,11.61,moderate rain,
16,Hobart,-42.8794,147.3294,49.86,80,40,3.0,scattered clouds,
17,Yellowknife,62.456,-114.3525,55.94,43,19,2.35,few clouds,
18,Kurchum,48.5722,83.6542,60.33,29,0,5.61,clear sky,
19,Bengkulu,-3.8004,102.2655,74.66,89,100,5.97,light rain,
20,Saint-Pierre,-21.3393,55.4781,64.08,70,20,8.05,few clouds,
21,Saint-Philippe,-21.3585,55.7679,63.99,69,0,8.68,clear sky,
22,Korla,41.7597,86.1469,78.15,30,4,7.45,clear sky,
23,Richards Bay,-28.783,32.0377,63.27,73,100,2.3,overcast clouds,
24,Busselton,-33.65,115.3333,43.09,79,0,9.78,clear sky,
25,Ocala,29.1872,-82.1401,93.92,69,20,1.99,few clouds,
26,Hilo,19.7297,-155.09,92.28,77,6,8.01,clear sky,
27,Bitung,1.4451,125.1824,74.25,85,87,9.46,light rain,
28,Hermanus,-34.4187,19.2345,53.91,82,0,4.68,clear sky,
29,Castro,-24.7911,-50.0119,66.99,48,0,3.56,clear sky,
30,Srivardhan,18.0333,73.0167,77.34,90,19,4.09,few clouds,
31,Ulladulla,-35.35,150.4667,59.09,62,2,6.71,clear sky,
32,Sao Filipe,14.8961,-24.4956,79.36,87,80,10.78,broken clouds,
33,Port Alfred,-33.5906,26.891,57.09,76,0,5.86,clear sky,
34,Avarua,-21.2078,-159.775,78.85,89,100,9.22,overcast clouds,
35,Cidreira,-30.1811,-50.2056,73.6,54,0,4.41,clear sky,
36,Faridabad,28.4333,77.3167,87.49,74,16,5.59,few clouds,
37,Praia Da Vitoria,38.7333,-27.0667,75.76,91,92,20.92,overcast clouds,
38,Maniitsoq,65.4167,-52.9,46.65,85,23,5.7,few clouds,
39,Barrow,71.2906,-156.7887,35.62,80,90,17.27,overcast clouds,
40,New Norfolk,-42.7826,147.0587,49.5,71,76,4.0,broken clouds,
41,Jamestown,42.097,-79.2353,82.02,58,90,3.0,overcast clouds,
42,Saurimo,-9.6608,20.3916,75.16,49,89,2.73,overcast clouds,
43,Kruisfontein,-34.0033,24.7314,46.89,83,0,3.13,clear sky,
44,Portland,45.5234,-122.6762,69.84,61,98,1.01,overcast clouds,
45,Denpasar,-8.65,115.2167,76.66,94,40,8.05,scattered clouds,
46,Koumac,-20.5667,164.2833,68.85,71,0,5.12,clear sky,
47,Torbay,47.6666,-52.7314,60.28,78,74,3.0,broken clouds,
48,Kaitangata,-46.2817,169.8464,44.89,81,86,5.03,overcast clouds,
49,Bluff,-46.6,168.3333,47.8,83,100,14.14,overcast clouds,
50,Natal,-5.795,-35.2094,79.45,83,40,13.8,scattered clouds,
51,Iqaluit,63.7506,-68.5145,42.53,81,90,19.57,light rain,
52,Fare,-16.7,-151.0167,77.99,80,7,19.66,light rain,
53,Charyshskoye,51.3978,83.5598,44.06,81,0,5.19,clear sky,
54,Bethel,41.3712,-73.414,73.29,93,100,3.0,moderate rain,
55,Dombarovskiy,50.7587,59.5386,75.24,29,2,10.36,clear sky,
56,Puerto Ayora,-0.7393,-90.3518,72.55,88,94,11.01,light rain,
57,Menongue,-14.6585,17.691,67.62,27,83,3.09,broken clouds,
58,Bilma,18.6853,12.9164,94.96,12,13,9.06,few clouds,
59,Ponta Do Sol,32.6667,-17.1,73.71,77,1,3.2,clear sky,
60,Havoysund,70.9963,24.6622,43.68,78,99,3.13,overcast clouds,
