City_ID,City,Country,Lat,Lng,Humidity,Max Temp,Cloudiness,Wind Speed,Description,Hotel Name
666,Hithadhoo,MV,-0.6,73.0833,70,81.99,42,10.04,scattered clouds,Scoop Guest House
668,Kapaa,US,22.0752,-159.319,66,88.12,20,5.99,few clouds,Sheraton Kauai Coconut Beach Resort
672,Kavieng,PG,-2.5744,150.7967,71,82.22,95,2.35,light rain,Nusa Island Retreat
675,Cockburn Town,TC,21.4612,-71.1419,70,85.96,40,14.97,scattered clouds,Osprey Beach Hotel
681,Albany,US,42.6001,-73.9662,93,75.81,96,12.97,moderate rain,
688,Korla,CN,41.7597,86.1469,30,77.54,4,5.57,clear sky,Gulisitan Hotel
696,Srivardhan,IN,18.0333,73.0167,91,77.14,38,4.5,scattered clouds,Savli Resort/Hotel - Shrivardhan
698,Sao Filipe,CV,14.8961,-24.4956,88,79.12,78,11.74,broken clouds,Hotel Xaguate
700,Avarua,CK,-21.2078,-159.775,89,78.85,40,8.05,scattered clouds,Paradise Inn
702,Faridabad,IN,28.4333,77.3167,74,87.49,17,4.74,few clouds,OYO 70153 Hotel Moon Tara
703,Praia Da Vitoria,PT,38.7333,-27.0667,73,79.05,75,19.89,broken clouds,Hotel Branco I
707,Jamestown,US,42.097,-79.2353,61,81.72,1,4.61,clear sky,Hampton Inn & Suites Jamestown
711,Denpasar,ID,-8.65,115.2167,94,76.66,40,5.75,scattered clouds,ASTON Denpasar Hotel & Convention Center
716,Natal,BR,-5.795,-35.2094,88,79.45,40,11.5,scattered clouds,Villa Park Hotel | Natal
718,Fare,PF,-16.7,-151.0167,80,78.03,6,19.64,light rain,Maitai Lapita Village Huahine
722,Puerto Ayora,EC,-0.7393,-90.3518,91,78.76,95,8.99,overcast clouds,Finch Bay Galapagos Hotel
732,Lamu,KE,-2.2717,40.902,79,75.42,0,15.26,clear sky,Lamu House
733,Hasaki,JP,35.7333,140.8333,88,77.4,100,9.62,light rain,Hotel Sunrise Choshi
740,Lixourion,GR,38.2019,20.4314,60,78.96,0,2.86,clear sky,Hotel Summery
742,Sinnamary,GF,5.3833,-52.95,82,79.95,17,12.41,few clouds,ALETHEIA Appartement Sinnamary
750,San Ramon,US,37.7799,-121.978,47,86.32,1,5.99,smoke,San Ramon Marriott
752,Mangan,IN,27.5167,88.5333,98,75.72,100,0.83,overcast clouds,Hotel Mout View
753,Broome,US,42.2506,-75.833,92,83.17,40,1.01,scattered clouds,Chenango Valley State Park
755,Yaguachi,EC,-2.1167,-79.6833,57,84.7,88,9.89,overcast clouds,ESTELA ORBE FIGUEROA
766,San Cristobal,VE,7.7669,-72.225,64,78.57,24,4.5,few clouds,Posada Villaven C.A.
769,Atuona,PF,-9.8,-139.0333,73,77.45,5,19.1,clear sky,Villa Enata
772,Buchanan,LR,5.8808,-10.0467,93,78.76,100,7.78,moderate rain,Kamaneahn Hotel Inc
773,Ribeira Grande,PT,38.5167,-28.7,91,75.15,79,20.6,broken clouds,Quinta da Meia Eira
775,Kuryk,KZ,43.2,51.65,28,85.68,97,6.93,overcast clouds,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
778,Port Blair,IN,11.6667,92.75,80,79.75,81,8.19,broken clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
782,Baghmara,IN,23.795,86.2085,79,80.06,87,5.86,light rain,Shankar tea shop
784,Katsuura,JP,35.1333,140.3,93,78.91,100,7.47,light rain,Katsuura Hotel Mikazuki
790,Georgetown,MY,5.4112,100.3354,84,78.75,40,5.75,thunderstorm,Cititel Penang
792,Honiara,SB,-9.4333,159.95,76,81.64,41,7.54,scattered clouds,Heritage Park Hotel
795,Qeshm,IR,26.9581,56.2719,81,89.49,62,8.88,broken clouds,Qeshm Kavan Hotel
797,Vaitape,PF,-16.5167,-151.75,79,78.15,10,15.21,light rain,Conrad Bora Bora Nui
801,Itarema,BR,-2.9248,-39.9167,78,78.12,8,16.55,clear sky,"Sea Lounge! Bar, Club & Restaurant"
805,Namie,JP,37.4833,141.0,98,75.72,100,4.43,moderate rain,いこいの村なみえ
806,Kahului,US,20.8947,-156.47,82,85.26,40,19.57,scattered clouds,Maui Seaside Hotel
810,Ranong,TH,9.9658,98.6348,83,78.49,88,7.02,overcast clouds,Tinidee Hotel@Ranong
812,Samarai,PG,-10.6167,150.6667,80,80.31,59,10.47,broken clouds,Nuli Sapi
821,Cabo San Lucas,MX,22.8909,-109.9124,78,87.06,90,5.99,overcast clouds,Hotel Tesoro Los Cabos
822,Guerrero Negro,MX,27.9769,-114.0611,55,76.51,0,16.53,clear sky,"Casa Laguna, Bed & Breakfast"
823,Saint-Esteve,FR,42.7131,2.843,59,77.52,40,11.5,scattered clouds,ibis Styles Perpignan Centre Gare - Rénovation complète
824,Havelock,US,34.8791,-76.9013,85,84.97,17,5.01,few clouds,Sherwood Motel
825,Lompoc,US,34.6391,-120.4579,69,80.74,1,13.8,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
826,Butaritari,KI,3.0707,172.7902,71,82.51,47,9.86,light rain,Isles Sunset Lodge
827,Prata,BR,-19.3072,-48.9242,27,76.57,0,4.68,clear sky,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
828,Half Moon Bay,US,37.4636,-122.4286,65,85.75,20,1.99,few clouds,"The Ritz-Carlton, Half Moon Bay"
831,Ca Mau,VN,9.1769,105.15,88,78.01,96,3.89,overcast clouds,Khách Sạn Mường Thanh Luxury Cà Mau
835,Acapulco,MX,16.8634,-99.8901,94,80.42,90,6.91,overcast clouds,HS Hotsson Smart Acapulco
837,Panacan,PH,9.2463,118.4082,84,78.91,100,7.4,moderate rain,Mom's Place Resort
842,Rock Falls,US,41.7798,-89.689,52,84.72,1,3.44,clear sky,"Country Inn & Suites by Radisson, Rock Falls, IL"
845,Jacqueville,CI,5.2052,-4.4146,89,76.91,100,2.86,overcast clouds,Hotel Le Martin Pecheur
849,Meulaboh,ID,4.1363,96.1285,87,76.84,100,3.38,moderate rain,Kost Pria
850,Albert Lea,US,43.648,-93.3683,25,78.71,0,14.63,clear sky,Countryside Motel Albert Lea
855,Shache,CN,38.4167,77.2406,21,80.94,98,1.97,overcast clouds,Delong Hotel
856,Shimoda,JP,34.6667,138.95,83,80.46,100,12.12,overcast clouds,Shimoda Tokyu Hotel
857,Dillon,US,34.4166,-79.3712,66,86.81,59,7.94,broken clouds,Dillon Express Inn
859,Dingle,PH,10.9995,122.6711,91,75.25,99,3.51,moderate rain,SEGAYA PROPERTY
861,Bubaque,GW,11.2833,-15.8333,75,79.77,100,5.23,overcast clouds,"Casa Dora, Bubaque"
866,Kimparana,ML,12.8347,-4.9244,76,78.17,98,6.13,overcast clouds,
872,Birecik,TR,37.0294,37.9903,20,78.01,0,4.43,clear sky,Birecik Ogretmenevi
873,Maua,BR,-23.6678,-46.4614,42,80.89,0,4.32,clear sky,Hotel Capriccio Mauá
875,Farah,AF,32.5,62.5,17,76.48,0,4.76,clear sky,
876,Auki,SB,-8.7676,160.7034,76,80.8,35,6.11,light rain,Auki Motel
879,Jackson,US,42.4165,-122.8345,29,85.91,1,5.75,smoke,Agate Village Apartments
887,Padang,ID,-0.9492,100.3543,85,75.25,100,2.95,overcast clouds,Mercure Padang
891,Namatanai,PG,-3.6667,152.4333,73,81.93,72,3.29,broken clouds,Seagulls Inn Namatani
894,Victoria,HK,22.2855,114.1577,85,85.32,80,1.01,broken clouds,Mini Hotel Central
895,Kulhudhuffushi,MV,6.6221,73.07,75,80.47,63,4.97,broken clouds,Hondaafushi Island Resort
896,Jalu,LY,29.0331,21.5482,57,80.47,0,13.09,clear sky,صاحبة الفخامة
901,Nador,MA,35.174,-2.9287,83,80.67,20,6.91,few clouds,Hôtel La Giralda
902,Ozinki,RU,51.1786,49.6769,44,77.04,65,6.58,broken clouds,Korolevskiy Dvor
903,Pervomayskoye,RU,43.919,46.7102,59,76.5,98,5.37,overcast clouds,
908,Miles City,US,46.4083,-105.8406,33,81.52,20,21.85,few clouds,FairBridge Inn & Suites Miles City
909,Naze,JP,28.3667,129.4833,88,78.44,97,14.99,overcast clouds,オーベルジュ・アガルイ
910,Tagusao,PH,9.1924,117.8141,78,79.41,100,3.38,overcast clouds,Toledo
912,Mabaruma,GY,8.2,-59.7833,79,84.2,40,11.5,scattered clouds,Monty Brooms Guest House
914,Sheridan,US,44.8333,-106.9173,23,82.02,1,1.99,clear sky,Comfort Inn & Suites
916,Paragominas,BR,-2.9667,-47.4833,46,86.27,97,6.78,overcast clouds,INOVA
