City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kondinskoye,59.6481,67.41,74.26,54,4,8.08,RU,2021-08-14 14:28:18
1,Busselton,-33.65,115.3333,48.09,85,0,8.39,AU,2021-08-14 14:28:19
2,Grand Gaube,-20.0064,57.6608,73.8,69,0,4.0,MU,2021-08-14 14:28:19
3,Hilo,19.7297,-155.09,72.81,90,90,4.61,US,2021-08-14 14:27:28
4,Ushuaia,-54.8,-68.3,35.22,80,20,0.0,AR,2021-08-14 14:26:35
5,Alta Floresta,-9.8756,-56.0861,87.62,45,0,2.3,BR,2021-08-14 14:28:20
6,Raudeberg,61.9875,5.1352,58.87,87,100,2.53,NO,2021-08-14 14:28:20
7,Bluff,-46.6,168.3333,45.81,76,95,23.73,NZ,2021-08-14 14:28:20
8,Ribeira Grande,38.5167,-28.7,79.2,78,20,16.11,PT,2021-08-14 14:28:21
9,Oum Hadjer,13.2954,19.6966,90.77,48,60,6.22,TD,2021-08-14 14:28:21
10,Castro,-24.7911,-50.0119,57.13,85,94,7.7,BR,2021-08-14 14:28:05
11,Harrismith,-28.2728,29.1295,37.96,95,100,5.88,ZA,2021-08-14 14:28:21
12,Kavieng,-2.5744,150.7967,83.86,75,67,15.23,PG,2021-08-14 14:28:22
13,Mataura,-46.1927,168.8643,45.48,83,100,7.45,NZ,2021-08-14 14:28:22
14,Thompson,55.7435,-97.8558,59.16,88,75,6.91,CA,2021-08-14 14:26:34
15,Atuona,-9.8,-139.0333,77.61,78,34,15.79,PF,2021-08-14 14:28:22
16,New Norfolk,-42.7826,147.0587,53.1,61,100,1.01,AU,2021-08-14 14:28:23
17,Punta Arenas,-53.15,-70.9167,37.51,93,90,5.75,CL,2021-08-14 14:27:54
18,Mayo,38.8876,-76.5119,86.58,82,1,1.01,US,2021-08-14 14:28:23
19,Victoria,22.2855,114.1577,83.32,87,100,8.21,HK,2021-08-14 14:26:20
20,Garner,35.7113,-78.6142,89.06,76,10,6.96,US,2021-08-14 14:24:06
21,Burnie,-41.0667,145.9167,52.84,83,100,15.66,AU,2021-08-14 14:28:23
22,Ashtabula,41.7001,-80.7665,75.45,82,1,4.61,US,2021-08-14 14:28:24
23,Rikitea,-23.1203,-134.9692,74.19,80,100,15.01,PF,2021-08-14 14:27:32
24,Jamestown,42.097,-79.2353,71.29,68,65,4.0,US,2021-08-14 14:28:24
25,Dandong,40.1292,124.3947,67.95,92,3,3.27,CN,2021-08-14 14:28:24
26,Mar Del Plata,-38.0023,-57.5575,42.82,100,90,10.36,AR,2021-08-14 14:27:35
27,Haines Junction,60.7522,-137.5108,39.15,100,100,2.3,CA,2021-08-14 14:28:25
28,Changji,44.0167,87.3167,74.19,46,0,8.95,CN,2021-08-14 14:28:25
29,Bambous Virieux,-20.3428,57.7575,73.65,78,75,10.36,MU,2021-08-14 14:28:26
30,Cape Town,-33.9258,18.4232,66.61,49,0,1.99,ZA,2021-08-14 14:28:18
31,Hermanus,-34.4187,19.2345,61.81,58,0,16.02,ZA,2021-08-14 14:28:26
32,El Carmen,8.5106,-73.4478,73.24,82,100,0.67,CO,2021-08-14 14:28:26
33,Aksu,41.1231,80.2644,76.69,36,94,8.81,CN,2021-08-14 14:28:27
34,Leningradskiy,69.3833,178.4167,41.2,82,99,17.69,RU,2021-08-14 14:28:27
35,Pisco,-13.7,-76.2167,62.65,82,90,3.44,PE,2021-08-14 14:28:27
36,Ostrovnoy,68.0531,39.5131,50.72,82,97,17.98,RU,2021-08-14 14:28:27
37,Georgetown,5.4112,100.3354,82.33,82,20,2.3,MY,2021-08-14 14:24:24
38,Guarapari,-20.6667,-40.4975,75.09,66,100,5.14,BR,2021-08-14 14:28:28
39,Boyolangu,-8.1181,111.8935,74.82,94,35,4.59,ID,2021-08-14 14:28:28
40,Lompoc,34.6391,-120.4579,61.79,96,90,0.0,US,2021-08-14 14:28:28
41,Nanakuli,21.3906,-158.1547,76.95,76,75,4.61,US,2021-08-14 14:28:29
42,Saldanha,-33.0117,17.9442,59.97,56,0,10.33,ZA,2021-08-14 14:28:29
43,Luderitz,-26.6481,15.1594,72.16,31,0,17.58,NA,2021-08-14 14:28:29
44,Skibbereen,51.55,-9.2667,62.4,91,66,19.62,IE,2021-08-14 14:28:30
45,Yellowknife,62.456,-114.3525,57.72,100,75,6.91,CA,2021-08-14 14:25:16
46,Severo-Kurilsk,50.6789,156.125,52.56,87,11,7.87,RU,2021-08-14 14:28:30
47,Vaini,-21.2,-175.2,66.36,82,20,5.75,TO,2021-08-14 14:28:30
48,Chokurdakh,70.6333,147.9167,42.24,70,100,12.57,RU,2021-08-14 14:24:14
49,Kodiak,57.79,-152.4072,49.51,62,75,10.36,US,2021-08-14 14:28:31
50,Talnakh,69.4865,88.3972,55.0,86,100,5.91,RU,2021-08-14 14:28:31
51,Esperance,-33.8667,121.9,53.44,82,10,10.29,AU,2021-08-14 14:28:31
52,Vilaka,57.1846,27.6722,71.46,68,100,13.22,LV,2021-08-14 14:28:32
53,Kihei,20.785,-156.4656,74.46,90,1,11.5,US,2021-08-14 14:26:14
54,Kapaa,22.0752,-159.319,79.12,90,75,13.8,US,2021-08-14 14:28:32
55,Iqaluit,63.7506,-68.5145,44.33,81,75,12.66,CA,2021-08-14 14:28:32
56,Buchanan,5.8808,-10.0467,84.16,65,94,9.44,LR,2021-08-14 14:28:33
57,Urumqi,43.801,87.6005,70.75,46,0,8.95,CN,2021-08-14 14:28:33
58,Port-Gentil,-0.7193,8.7815,84.16,70,75,14.97,GA,2021-08-14 14:28:33
59,Albany,42.6001,-73.9662,77.54,84,82,1.99,US,2021-08-14 14:27:47
60,Yulara,-25.2406,130.9889,58.84,31,6,8.05,AU,2021-08-14 14:28:34
61,Vao,-22.6667,167.4833,66.15,61,22,16.2,NC,2021-08-14 14:28:34
62,Coos Bay,43.3665,-124.2179,66.02,94,90,0.0,US,2021-08-14 14:28:34
63,Staraya Poltavka,50.4772,46.4814,95.79,11,85,6.11,RU,2021-08-14 14:28:35
64,Touros,-5.1989,-35.4608,86.9,52,12,17.29,BR,2021-08-14 14:28:35
65,Bredasdorp,-34.5322,20.0403,61.29,48,0,16.11,ZA,2021-08-14 14:28:35
66,Ponta Do Sol,32.6667,-17.1,86.72,66,89,1.92,PT,2021-08-14 14:28:35
67,Arlit,18.7369,7.3853,100.87,22,0,0.85,NE,2021-08-14 14:28:36
68,Saint-Philippe,-21.3585,55.7679,72.95,84,20,16.91,RE,2021-08-14 14:28:36
69,Ahipara,-35.1667,173.1667,54.72,86,34,11.27,NZ,2021-08-14 14:28:36
70,Cidreira,-30.1811,-50.2056,61.74,83,63,16.26,BR,2021-08-14 14:28:37
71,Sosnovo-Ozerskoye,52.5249,111.5418,56.98,81,63,5.91,RU,2021-08-14 14:28:37
72,Mahebourg,-20.4081,57.7,73.69,78,75,10.36,MU,2021-08-14 14:28:37
73,Taywarah,33.35,64.4167,67.6,17,1,19.71,AF,2021-08-14 14:28:38
74,Iracoubo,5.4802,-53.2011,82.63,76,77,9.13,GF,2021-08-14 14:28:38
75,Patan,27.6667,85.3333,73.78,94,75,2.3,NP,2021-08-14 14:28:38
76,Korla,41.7597,86.1469,83.44,26,95,12.01,CN,2021-08-14 14:28:39
77,Ulaanbaatar,47.9077,106.8832,57.33,82,0,0.0,MN,2021-08-14 14:28:15
78,Road Town,18.4167,-64.6167,87.21,79,40,11.5,VG,2021-08-14 14:27:16
